0.66	-0.58	0.68	-3.13
1.02	-0.71	1.03	-2.47
0.77	0.41	0.93	-2.18
0.60	0.68	0.94	-2.84
0.85	0.05	0.91	-2.44
0.51	0.38	0.75	-2.20
1.30	0.10	1.33	-0.80
0.75	0.40	0.91	-1.92
0.86	-0.46	0.88	-2.15
0.31	0.86	0.97	-2.99
0.55	0.57	0.86	-2.31
0.72	0.63	0.98	-1.66
0.82	-0.46	0.85	-2.50
1.08	0.27	1.14	-1.14
0.75	-0.06	0.81	-2.56
0.66	0.59	0.93	-2.55
0.85	-0.20	0.88	-2.46
0.70	1.07	1.22	-1.91
0.65	1.00	1.16	-1.73
0.50	0.83	0.99	-2.01
0.89	0.59	1.06	-2.28
0.86	0.63	1.06	-1.96
0.77	1.00	1.20	-2.11
1.10	-0.22	1.13	-2.27
0.78	0.85	1.12	-2.09
0.88	1.23	1.39	-1.70
0.49	-0.10	0.59	-2.36
0.95	0.17	1.02	-1.87
1.06	0.33	1.13	-1.53
0.78	1.01	1.21	-1.74
0.56	1.06	1.14	-2.07
0.15	0.46	0.63	-2.88
0.28	1.01	1.08	-2.80
0.44	0.98	1.09	-2.21
0.97	0.33	0.99	-1.98
0.61	0.79	1.01	-2.38
0.21	0.51	0.69	-2.52
1.37	0.98	1.52	-1.93
-0.41	0.57	0.61	-2.78
0.41	0.63	0.83	-2.56
0.04	0.73	0.81	-2.32
0.59	0.18	0.73	-2.11
0.45	0.91	1.04	-2.22
0.84	0.66	1.06	-1.98
0.80	0.80	1.10	-2.06
0.18	0.86	0.94	-2.38
-0.13	0.01	0.25	-3.55
0.97	0.22	1.04	-1.53
0.28	0.41	0.65	-2.22
-0.40	0.64	0.67	-2.47
0.73	0.49	0.93	-2.64
0.68	1.00	1.17	-2.32
0.76	1.38	1.47	-1.78
0.88	1.63	1.70	-1.41
1.01	0.22	1.09	-2.46
0.95	0.25	1.03	-1.70
0.73	1.16	1.29	-1.91
0.61	0.53	0.89	-2.08
0.85	0.77	1.11	-1.81
0.94	1.04	1.30	-1.88
0.67	0.87	1.08	-2.33
